"","cluster","X","PC1","PC2","Year_Est","W","L","T","W_L","Yr_Plyf","Chmp","SB","Conf","Div","Num_Moves","Local_TV_Rank","Local_TV_Est","First_Picks","Current_City_SB","Longest_Playoff_Draught","Est_Worth","Starting_QB_99_13","HOF","type"
"1",1,13.5,-1.27228680184019,-3.3058078608371,1930,539.5,620.5,29.5,0.46675,19.25,3,0.25,1.5,12.25,1.5,7.75,3021202.5,4.5,0,17.25,1.7075,13,22,"mean"
"2",2,17.8888888888889,1.81112680033239,-0.713577458924149,1964.11111111111,364.444444444444,423.333333333333,6.66666666666667,0.460111111111111,14.8888888888889,1.11111111111111,0.444444444444444,1.55555555555556,8.33333333333333,0.333333333333333,27.8888888888889,1849495.55555556,2.77777777777778,0.444444444444444,13.5555555555556,1.58722222222222,10.4444444444444,9.77777777777778,"mean"
"3",3,13,4.03610491956671,1.27431128949887,1992.8,180.6,187.8,0.4,0.485,8.2,0.6,0.6,1.2,4.8,0,23.8,1414720,0.8,0.4,7.4,1.868,10.8,3,"mean"
"4",4,19.6,-4.30119890449871,0.248536861957146,1926.2,660.4,552.8,31.8,0.5432,28,8.2,3.6,5,22.8,0.4,20.4,2975140,2.2,1,18.8,2.39,10,30.8,"mean"
"5",5,16.6666666666667,-1.0983915634412,1.33679864626507,1956.88888888889,475.555555555556,397.777777777778,9.55555555555556,0.544666666666667,25.3333333333333,3.66666666666667,2.55555555555556,5.22222222222222,18.6666666666667,0.444444444444444,13.1111111111111,1950285.55555556,2.66666666666667,0.777777777777778,10.6666666666667,2.23166666666667,13.2222222222222,17.1111111111111,"mean"
"6",1,1,-2.36801906043212,-4.9856147189995,1920,535,542,21,0.425,10,2,0,0,8,0,2,1828230,3,0,11,1.44,10,18,"min"
"7",2,2,0.546912139768278,-1.44778965645562,1960,241,386,1,0.385,10,0,0,1,4,0,1,585350,1,0,8,1,7,2,"min"
"8",3,3,2.08153230381662,0.489907880477906,1976,97,127,0,0.433,3,0,0,0,2,0,10,665330,0,0,4,1.48,8,0,"min"
"9",4,6,-4.99998835879969,-0.87557548323263,1920,578,530,20,0.506,24,5,1,2,15,0,1,433970,2,1,13,1.9,5,28,"min"
"10",5,8,-2.80399787245062,-1.11793227803101,1946,429,335,4,0.527,21,0,0,0,14,0,5,1073090,0,0,6,1.43,3,6,"min"
"11",1,14,-1.06558358920853,-3.26950779587253,1931.5,537.5,608,29,0.4715,20,3,0,1.5,10.5,1.5,8,2383385,4,0,16.5,1.495,13.5,20.5,"median"
"12",2,21,1.50782604097334,-0.801667661629706,1960,387,420,6,0.459,14,1,0,1,9,0,29,990150,3,0,14,1.515,11,10,"median"
"13",3,13,4.44740215823323,0.876384890327891,1995,166,169,0,0.496,7,0,0,1,4,0,22,1168610,0,0,8,1.87,11,3,"median"
"14",4,22,-4.42322621044498,0.819611414038839,1925,673,555,33,0.543,29,8,4,5,24,0,7,2443640,2,1,17,2.45,8,29,"median"
"15",5,18,-1.08118421456787,1.80050364565066,1960,462,386,10,0.542,26,4,2,5,19,0,15,1723210,3,1,12,1.875,15,19,"median"
"16",1,25,-0.589960968511562,-1.69860113260385,1937,548,724,39,0.499,27,4,1,3,20,3,13,5489810,7,0,25,2.4,15,29,"max"
"17",2,31,2.77150201322598,0.270346061825411,1976,435,457,12,0.518,21,2,1,4,15,1,53,7368320,5,1,20,2.6,15,18,"max"
"18",3,29,5.25166488881306,2.81085448822076,2002,315,313,1,0.542,15,2,2,3,9,0,47,2373700,3,1,10,2.5,13,8,"max"
"19",4,32,-3.45870719608522,1.02337651957279,1933,741,567,42,0.572,31,13,6,8,27,1,68,7368320,3,1,25,2.85,17,35,"max"
"20",5,28,0.29507795223701,3.7849287391143,1966,558,455,16,0.569,31,8,5,8,23,2,27,2646370,5,1,17,4,20,25,"max"
